,Sample name,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3
30377,,,,,,,,,3071780,,,,,,,,,,,,,,,,,,,,,,
30373,,,,,,,4441510,,,,,,,,,,,,,,,,,,,16969100,,,,,
30372,,,,,65548700,33295600,,,,,,,,,79749100,19279000,3859010,,,,,,,46621400,70265000,,,,,,
30371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2805240
30370,,,,18427300,,,,,,,3590390,,,24669700,,,,,,,,,,,,,,,,,
30367,,16542500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30366,,,,,,,,,,,,11745200,,,,,,,,,,15685600,,,,,,,,,
30363,,,,,,,,,,,,,,,,,,,,,,,,,,,,2797960,,,
30334,,,,319673000,,,,,,,,,,,,,,32280600,,,27210000,,,188212000,,,28981600,31148300,,25691400,
30333,,54038000,1422610000,,59336100,53960000,40581400,44010400,29940900,24849600,23961000,65857900,1060570000,773585000,51329500,54727100,38501400,,25629300,31888700,,69974300,1627380000,,48424200,,,,27702000,,20769700
30332,,,,,,,,,,,,,,,,,,,,,,,,,,39040400,,,,,
30313,,,,,,,,,,,,,,,,,,,,,,,,,,,5007550,,,,
30312,,,,,,,6378280,,,,,,,,,,,,,,,,,,,,,,,,
30310,,,,135272000,,,,,,,,,,201924000,,,,,,,,,,,,,,,,,
30305,,62600900,,,,,,,,,,67862200,,,,,,,,,,,,,,7513070,,,,,
30304,,,,,,,,,,,,,,,,,,,,,,60274700,,,,,,,,,
30300,,,,,36108400,,,,,,,,,,39080500,,,,,,,,,,,,,,,,
30297,,,,,,,,,,,,,,,,,,,,,,,,,21405500,,,,,,
30296,,,,,,13947100,,,,4791680,,,,,,,,,,,,,,,,,,,,,
30295,,,,,,,,,,,,,,,,,,,,,,,,,,,,6708940,,,
30294,,,,,,,,,8015430,,,,,,,8444200,,5306700,8384490,7574290,,,,118053000,,,4795090,,7170880,7333270,
30293,,,374681000,148923000,,,6784410,10571100,,,6822480,,,289379000,,,8582200,,,,7660940,,,,,,,,,,7442470
30292,,,,,,,,,,,,,270263000,,,,,,,,,,453593000,,,,,,,,
30268,,,,,,46306800,,,,,,,,,,29777600,,11790500,,,,,,,123577000,30704800,,,10847800,,
30267,,,,195817000,241124000,,13172500,11529800,,,,,,193588000,234835000,,14791400,,,14689900,5998490,,,362605000,,,7642930,10361600,,11392700,6536160
30266,,,,,,,,,10384000,12666700,,,,,,,,,8269540,,,,,,,,,,,,
30265,,,,,,,,,,,6241680,,,,,,,,,,,,,,,,,,,,
30263,,19921900,,,,,,,,,,19831500,,,,,,,,,,,,,,,,,,,
30262,,,,,,,,,,,,,,,,,,,,,,18977100,,,,,,,,,
30251,,,182142000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30250,,,,,,,,,,,,,133889000,,,,,,,,,,203095000,,,,,,,,
30248,,,,,,,,,,,,,,,,10452400,,,,,,,,,,,,,,,
30247,,,,,,17694300,,,,,,,,,64467900,,,,,,,,,,,,,,,,
30246,,,,,62582500,,,,,,,11320200,,,,,,,,,,,,,46201200,9709030,,,,,
30244,,17069600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30229,,,,,,,,,,,,,,,,,,,,1438120,,,,,,,,,2014890,,
30228,,,,25685900,,,,,,,,,,,,,,,,,,,10951700,,,,,,,,
30227,,,8146460,,37617200,,,,,,,,,,34618300,,,,,,,,,43654200,,,,,,,
30226,,,,,,,,,,,,,,24996800,,,,,,,,,,,,,,,,,
30222,,,,,,,,,,,,7262350,,,,,,,,,,,,,,,,,,,
30221,,8918990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30202,,24082200,,,,,,,,,,,,,51234400,,,,,,,,,,,,,,,,
30201,,,,,,62972900,,,,,,,,,,42686800,,,,,,16635800,,,63228800,37640400,,,,,
30200,,,,,30772200,,,,,,,,,,,,,,,,,,,,,,,,,,
30197,,,,,,,10642500,,,,,,,,,,10377900,4745620,,,,,,,,,,,,,
30196,,,,,,,,,,,,,,,,,,,,,,,,,,,5728360,,,,
30195,,,,,,,,,,,,,,,,,,,,,6945320,,,,,,,,,,
30194,,,,94848000,,,,,,5703030,,,,,,,,,,,,,,,,,,,,,
30193,,,,,,,,,8466800,,,,,216739000,,,,,4844820,,,,,53830300,,,,,,,
30191,,,,,,,,6140290,,,,,,,,,,,,,,,,,,,,,,,
30190,,,,,,,,,,,,16515500,,,,,,,,,,,365935000,,,,,5771650,6888560,,
30189,,,319085000,,,,,,,,5280640,,,,,,,,,6179850,,,,,,,,,,6213860,5743990
30188,,,,,,,,,,,,,198241000,,,,,,,,,,,,,,,,,,
30181,,,,,,20336900,,,,,,,,,,,,,,,,,,,,,,,,,
30180,,,,,,,,,,,,,,,,14851400,,,,,,,,,,13904400,,,,,
30164,,,,,,,,,,,,,,,,,,,,,,,,30985800,,,,,,,
30163,,,,41733200,,,,,,,,,,,15143300,,,,,,,,,,,,,,,,
30162,,32832700,,,,,,,,,,,,,,,,,,,,,,,9091500,,,,,,
30161,,,,,14074800,,,,,,,25748800,,,,,,,,,,29592700,,,,,,,,,
30160,,,,,,,,,,,,,,,,,,,,,2028460,,,,,,,,,,
30151,,,,,,,,,,,,,,,,,2883070,,,,,,,,,,,,,,
30150,,,,,,,,,,,,,,,,,,,2818650,,,,,,,,,,,,
30149,,,,,,,,,,,2792230,,,,,,,,,,,,,,,,,,,,
30148,,,,,,,,,,,,,,90620300,,,,,,3431100,,,,,,,,,2155720,2478580,
30147,,,162538000,,,,,3189100,4697890,3153110,,,,,,,,,,,,,169239000,,,,,4889820,,,2237430
30146,,,,,,,,,,,,,108804000,,,,,,,,,,,,,,,,,,
30137,,,,,,,,,,,,,,,,8420720,,,,,,,,,,,,,,,
30135,,,,,,,,,,,,,,,,,,,,,,,,,,5854170,,,,,
30132,,,,,,11740700,,,,,,,,,,,,,,,,,,,,,,,,,
30129,,,,,,,,,,,,,,,65531400,,,,,,,,,,34479000,,,,,,
30128,,,,,64422300,,,2671700,,,,,,,,,,,,,,,,,,,,,,1369820,
30127,,,,,,,,,,,,,,,,,,,,,,,,102510000,,,,,,,
30126,,,,,,,,,,,2128770,,,,,,,,,,,,,,,,,2709170,,,
30125,,,,57246900,,,,,,,,,,,,,,,,,,,,,,,,,,,
30124,,,,,,,,,,,,,,56230600,,,,,,,,,,,,,,,,,
30118,,8385050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30117,,,,,,,,,,,,,,,,,,,,,,8194460,,,,,,,,,1695570
30116,,,,,,,,,,,,9391690,,,,,,,,,,,,,,,,,,,
30106,,,,,,7217290,,,,,,,,,,,,,,,,,110405000,,,,,,,,
30105,,,87091600,,,,,,,,,,,,,,,,,,,,,,,,,,2240030,,
30103,,,,,,,,,,,,,74972800,,,,,,,,,,,,,,,,,,
30099,,15655300,,,,,,,,,,6690130,,,,,,,,,,9800060,,,,,,,,,
30091,,,,,,,,,,,,,,,,7231220,,,,4504100,,,,,,,,,,,
30089,,,,,,10267800,4945190,,,,,,,,,,,,,,,,,,,,,4447750,,,
30088,,,,139779000,81437800,,,6325090,2983050,3006010,3564590,,,,75963400,,,3751200,,,,,,201978000,35904500,6211110,,,,,4009510
30087,,,,,,,,,,,,,,133242000,,,6010920,,2694180,,3911210,,,,,,,,,4258260,
30080,,,,,,,,,,,,4907880,,,,,,,,,,,,,,,,,,,
30067,,,,,,,,,,,,,,,,,2284930,,,,,,,,,,,,,,
30065,,,,,28543900,,,,,,,,,,33001100,,,,,,,,,,19071100,5638680,,,,,
30064,,,,,,8237630,,,,,,,,,,4495950,,,,,,,,,,,,,,,
30061,,,,,,,,,,,,,,,,,,,,1671690,,,,31825300,,,,,,,
30058,,15600100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30057,,,,,,,,,,,,,,,,,,,,,,8845090,,,,,,,,,
30056,,,,24433600,,,,,,,,7860880,,,,,,,,,,,,,,,,,,1314180,
30052,,,,,,,,,,2099800,,,,,,,,,,,,,,,,,,,,,
30045,,,,,,,,,,,,,,,11358900,,,,,,,,,,9433650,,,,,,
30044,,,,,,,,,,,,,,,,,,,1958280,,769902,,,,,,,,,,
30043,,,,,,,,2084840,,,,,,45552800,,,,,,,,,,,,,,,,,
30042,,,70066800,,,,,,,,,,,,,1960760,,,,,,,89542500,,,3479170,,,,,1209100
30041,,,,,,,,,,,1863760,,54736300,,,,,,,,,,,,,,,,,,
30040,,,,,,,,,,,,5257530,,,,,,,,,,,,,,,,,,,
30039,,5925100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30036,,,,,,8026230,,,,,,,,,,,,,,,,,,,,,,,,,
30034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234420,
30022,,,,,,,,,,,,,,,,,,,,922264,,,,,,,,,,,
30021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063390
30017,,,,18155400,,,,,,,,,,,,,,,,,,,16052700,15211000,,,,,,,
30016,,11090600,,,,,,,,,,8790870,,18163200,,,,,,,,,,,,,,,,,
30015,,,,,,,,,,,,,,,,,,,,,,9416300,,,,,,,,,
29993,,,,,,,,,,,,,,,,23174000,9075860,,,,,,,,,,4083520,,,,
29992,,,,,21113900,23631000,10340800,,,,,,,,,,,,,,,,,,,21081500,,,,,
29991,,,,,,,,,,,,,,,20909500,,,,,,,,,,,,,,,,
29988,,,,,,,,,,,,,,,,,,,,,,,,,14880200,,,,,,
29987,,,,,,,,,,,,,,,,,,3753060,,,,,,,,,,,,,
29986,,,,,,,,,,,,,,,,,,,4084660,,,,,,,,,4169930,,,
29985,,,,,,,,,,,2995860,,,,,,,,,,,,,,,,,,,,
29984,,,241165000,,,,,4175980,5056660,,,,139913000,,,,,,,,,,,54951900,,,,,3655400,,2383020
29983,,9037880,,84877700,,,,,,4132450,,10300100,,195012000,,,,,,3640880,2874520,10763200,294870000,,,,,,,3797620,
29956,,11609800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29954,,,,,,,,,,,,9198180,,,,,,,,,,,,,,,,,,,
29951,,,,,,,,,,,,,,,,,,,,,,9633290,,,,,,,,,
29950,,,,,,,,,,,,,,,17818700,,,,,,,,,,,,,,,,
29949,,,,,22867700,,,,,,,,,,,,,,,,,,,,,,,,,,
29946,,,,,,,,,,,,,,,,,,,,,,,,,,,3727210,,,,
29945,,,,,,,,,1516960,,,,,,,,,,,,,,,,,,,,,,
29944,,,,,,,3801270,2360420,,1604070,2599860,,,,,,,,5449750,,2715380,,,66808100,,,,1783150,,,
29943,,,231515000,99363700,,,,,,,,,123751000,202718000,,,3736030,,,3380570,,,280315000,,,4869340,,,,,2014790
29942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1452370,
29941,,,,,,7833690,,,,,,,,,,,,,,,,,,,,,,,,,
29933,,,,,,,,,,,,,,,,,,,,,,,,,13045300,,,,,,
29926,,,,,,,,,,,,,,,14975400,,,,,,,,,,,,,,,,
29923,,,,,13016100,,,,,,,,,,,,,,,,,,,,,,,,,,
29921,,,,,,,,,,,630980,,,,,,,,,,,,,,,,,,,,
29920,,,,59549400,,,,,,,,,,58209600,,,,,,,,,,,,,,,,,
29919,,,,,,,,,,,,,,,,,,,,,,,,50453500,,,,,,,
29917,,,16502800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29915,,,,,,,,,,,,,,,,,,,,,,7237240,,,,,,,,,
29914,,,,,,,,,,,,4975370,,,,,,,,,,,,,,,,,,,
29913,,7491590,,,,,,,,,,,,,,,,,,,773533,,,,,,,,,,
29905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945831
29900,,,20001900,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29899,,,,,,,,,,,,,,,,,,,,,,,20262400,,,,,,,,
29897,,,,,,,,,,,,,21463000,,,,,,,,,,,,,,,,,,
29896,,,,,,,,,,,,,,,,,,,,,,6832580,,,,,,,,,
29895,,8123610,,,,,,,,,1011650,5096580,,,,,,,,,,,,,,,,,,,
29892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1538060,
29891,,,,,,,,,,,,,,,,,,,,859544,,,,,,,,,,,
29890,,,,,,15389400,,,,,,,,,,,,,,,,,,,,,,,,,
29888,,,,,22297600,,,,,,,,,,24600700,,,,,,1348450,,,,31459200,,,,,,
29883,,,,,,,,,,,,,,,,,,,,,,,,11295000,,,,,,,
29880,,,,8870820,,,,,,,,,,,,,,,,,,,,,,,,,,,
29876,,,,,,,,,,,,,,9572090,,,,,,,,,,,,,,,,,
29873,,,,,,,,,,,,,,,,,,,,,,,9188760,,,,,,,,
29868,,,,,,,,,,,,3378420,,,,,,,,,,,,,,,,,,,
29855,,,,,,,,,,,,,,,,,,,,,,5103670,,,,,,,,,
29854,,9403160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29851,,,,,,9033000,,,,,,,,,,,,,,,,,,,,,,,,,
29849,,,,,17883600,,,,,,,,,,19548600,,,,,,,,,,24623600,,,,,,
29848,,,,,,,,,,,,,,,,,,,,,,,,,,3731530,,,,,
29842,,,,,,,,,,,,,,,,,,,,,1058730,,,,,,,,,,1365580
29841,,,,41379200,,,,,,,,,,,,,,,,,,,,,,,,,,,
29840,,,,,,,,,,,,,,,,,,,,,,,,29077000,,,,,,,
29839,,,,,,,,,,,,,,71046700,,,,,,,,,101154000,,,,,,,,
29838,,,73409800,,,,,,,,,,35485400,,,,,,,,,,,,,,,,,,
29837,,,,,,,,,,,,,,,,,,,,,,3062650,,,,,,,,,
29836,,,,,,,,,,,,2140110,,,,,,1668330,,,,,,,,,,,,,
29814,,,,,,,,,,,,,,,5849930,,,,,,,,,,,,,,,,
29813,,,,,6976900,,,,,,,,,,,,,,,,,,,,5273860,,,,,,
29810,,4894160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29804,,,,,,,,,,,,5592420,,,,,,,,,,,,,,,,,,,
29800,,,,,,,,,,,,,,,,,,,,,1493480,5976880,,,,,,,,,
29799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1601410
29798,,,114864000,,,,,,,,,,,,,,,,,,,,147953000,,,,,,,,
29797,,,,,,,,,,,855875,,60870900,98786300,,,,,,,,,,,,,,,,,
29788,,,,,,,,,,,,,,,,,,,,,,,,,13112200,,,,,,
29785,,,,,,,,,,,,,,,30672900,,,,,,,,,,,,,,,,
29784,,,,,38001200,,,,,,,,,,,,,,,,,,,,,,,,,,
29783,,,,69045900,,,,,,,,,,,,,,,,,,,,88087700,,,,,,,
29777,,,21618500,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29770,,,,,,,,,,,,3163120,,,,,,,,,,,,,,,,,,,
29755,,,,,,,,,,,,,,,,,,,,,,,14394500,,,,,,,,
29753,,,11831600,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29752,,,,,,,,,,,,,,,,,,,,,,4411300,,,,,,,,,
29751,,,,,,,,,,,,,16447100,,,,,,,,,,,,,,,,,,
29750,,8056520,,,,,,,,,,1950940,,,,,,,,,,,,,,,,,,,
29747,,,,,,,,,,,,,,,,,,,,,,,,,9209490,,,,,,
29745,,,,,,,,,,,,,,,15439000,,,,,,,,,,,,,,,,
29744,,,,,15522500,,,,,,,,,,,,,,,,,,,23141200,,,,,,,
29743,,,,14058800,,,,,,,,,,,,,,,,,,,,,,,,,,,
29742,,,,,,,,,,,,,,14288200,,,,,,,,,,,,,,,,,
29719,,,,,,20421200,,,,,,,,,,,,,,,,,,,,13405000,,,,,
29718,,,,,,,,,,,,,,,,14579100,,,,,,,,,18041400,,,,,,
29716,,,,,,,,,,,,,,,10915600,,,,,,,,,,,,,,,,
29712,,,,,6434090,,,,,,,,,,,,,,,,,,,,,,,,,,
29710,,,,,,,,,,,,1650710,,,,,,,,,,,,,,,,,,,
29709,,10613400,,,,,,,,,,,16618600,,,,,,,,,5361070,,,,,,,,,
29708,,,,,,,,,,,,,,,,,,,,,,,6759940,,,,,,,,
29703,,,,13148700,,,,,,,,,,,,,,,,,,,,,,,,,,,
29702,,,,,,,,,,,,,,,,,,,,,,,,14348700,,,,,,,
29698,,,,,,,,,,,,,,16146700,,,,,,,,,,,,,,,,,
29694,,,13777300,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29688,,1826850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29683,,,,,,,,,,,,,,,3623140,,,,,,,,,,,,,,,,
29679,,,,,,,,,,,,,,,,,,,,,,,,,2396820,,,,,,
29677,,,,,,,,,,,,,,,,,,,,,,,,,,,,2321310,,,
29672,,,,,,,,,,,,,,,,,,1567400,,,,,,,,,,,,,
29668,,4259180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29665,,,,12530100,,,,,,,,,,17018700,,,,,,,,,,,,,,,,,
29664,,,,,,,,,,,,,,,,,,,,,,,12575000,5904960,,,,,,,
29663,,,7748150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29661,,,,,,,,,,,642473,,,,,,,,,,,,,,,,,,,,
29645,,,,,,,,,,,,,,,17335400,,,,,,,,,,,,,,,,
29644,,,,,18837400,,,,,,,,,,,,,,,,,,,,,,,,,,
29639,,,,,,,,,,,,,,,,,,,,,,,,,6705940,,,,,,
29637,,,,,,,,,,,,,,,,,,,,2975330,,,,,,,,,,,
29636,,,,,,,,,,,,,,,,,,,,,,,,88021400,,,,3768520,,,
29635,,8184120,250369000,145514000,,,4836770,4256230,,2782980,,,,270695000,,,4493020,4134770,3745890,,,10553900,329096000,,,,,,1807600,2711470,3216280
29634,,,,,,,,,,,2215920,9931470,101488000,,,6472980,,,,,2059240,,,,,9427660,,,,,
29633,,,,,,4074660,,,,,,,,,,,,,,,,,,,,,,,,,
29613,,5067460,,,,,,,,,,,,,,,,,,,,,,,,2787500,,,,,
29612,,,,40136300,,,,,,,,,,40786500,,,,,,,,3280640,,,,,,,,,
29611,,,,,,,,,,,,,,,,,,,,,,,,29545400,,,,,,,
29610,,,,,,,,,,,,,,,,,,,,,,,19997400,,,,,,,,
29609,,,11784300,,,,,,,,,3114690,,,,,,,,,,,,,,,,,,,
29608,,,,,,,,,,,,,,,,,,,,,,,,,3558940,,,,,,
29603,,,,,,,,,,,,,,,5004740,,,,,,,,,,,,,,,,
29599,,,,,3487910,,,,,,,,,,,,,,,,,,,,,,,,,,
29595,,,,,,,,,,,,,2560560,,,,,,,,,,,,,,,,,,
29578,,,,,,,,,,,,,,,4689910,,,,,,,,,,3320110,,,,,,
29575,,,,,,,,,,,,,,,,,,,,,,,,3734690,,,,,,,
29571,,,,2567020,,,,,,,,,,,,,,,,,,,,,,,,,,,
29568,,,,,,,,,,,,,,5447280,,,,,,,,,,,,,,,,,
29547,,,,,,,,,,,,,34956400,,,,,,,,,,29644700,,,,,,,,
29546,,10193400,19838000,,,,,,,,,,,,,,,,,,,4463950,,,,,,,,,
29545,,,,,,,,,,,,1464050,,,,,,,,,,,,,,,,,,,
29536,,,,,,,,2362790,,,,,,,,,,,,,,,,,,,,,,,
29535,,,,,9073080,,,,,,,,,,13228600,,,,,,,,,,,,,,,,
29534,,,,,,,,,,,,,,,,,,,,,,,,,13458300,,,,,,
29533,,,,,,,,,,,,,,,,2486340,,,,,,,,,,,,,,,
29521,,,,,,,,,,,,,3240000,,,,,,,,,,,,,,,,,,
29510,,,,,,,,,,,,,,,,,,,,,,,,,8641260,,,,,,
29509,,,,,,,,,,,,,,,12178300,,,,,,,,,,,,,,,,
29508,,,,,7323250,3032200,,,,,,,,,,,,,,,,,,,,,,,,,
29502,,,,,,,,,,,,,3513780,,,,,,,,,,,,,,,,,,
29498,,,27492600,,,,,,,,,,,,,,,,,,,,31616700,,,,,,,,
29497,,,,35691800,,,,,,,,,,47611600,,,,,,,,,,,,,,,,,
29476,,,,3114900,,,,,,,,,,,,,,,,,,,,,,,,,,,
29467,,,,,,,,,,,,,,,,,2131740,,,,,,,,,,,,,,
29462,,1378140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633380,,
29442,,,,,,,,,,,,,,,,,,,1784440,,,,,,,,,,,,
29436,,,,,7277700,,,,,,,,,,,,,,,,,,,,,,,,,,
29434,,,,6809040,,,,,,,,,,4393180,5827160,,2291030,,,,,,,,,,4681270,,,,
29433,,,,,,,4418460,,,,,,,,,,,,,,,,,,,,,,,,
29418,,2128040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29409,,,,,,,,,,,,,3899920,,,,,,,,,,,,,,,,,,
29407,,,,,,,,,,,,,,,,,,,,,,,17297200,,,,,,,,
29406,,,,,,,,,,,,,,12984900,,,,,,,,,,,,,,,,,
29394,,,,,6868590,,,,,,,,,,8519680,,,,,,,,,,2904160,,,,,,
29393,,,,7572800,,,,,,,,,,,,,,,,,,,,,,,,,,,
29372,,,,,,9403000,,,,,,,,,,,,,,,,,,,,11335000,,,,,
29371,,,,,,,,,,,,,,,,12304000,,,,,,,,,,,,,,,
29343,,,,,,,,,,,,,2124730,,,,,,,,,,,,,,,,,,
29340,,1471610,,,,,,2161060,,,,,,,,,,,,,,,,,,,,2953440,,,
29315,,,,,,,,,,,,,,,,,,,,3720370,,,,,,,,,,537542,
29314,,,,,,,,,7311010,,,,,,,,,,4259520,,,,,,,,,,5617640,,
29303,,,,,,,,,,,,,,,,,,,,,,,,,,,3386140,,,,
29302,,,,,,,,,,,,,,,,,,4194370,,,,,,,,,,,,,
29301,,,,,,,,3396100,,,,,,,,,,,,,,,,,,,,4844060,,,
29276,,,,,,,,,,954555,,,,,,,,,,,,,,,,,,,,,
29266,,,2311380,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29257,,,,,,,,,,,,,,,,,,,,,,824293,,,,,,,,,
29252,,,,,,,,,,,,,,,,,,,3056120,,,,,,,,,,,,
29251,,,,,,,,,,,,,,,,,,,,,,,,,,,,5465170,,,
29236,,,,,,,20839900,,,,,,,,,,19416200,5158580,,,,,,,,,22417600,,,,
29210,,,,,,,,13788100,,,,,,,,,,6135360,6693560,,,,,,,,,17401900,,,
29195,,,,,,,3545190,,,,,,,,,,,,,,,,,,,,3849950,,,,
29178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,532133,
29170,,,,,,,,,1629540,,,,,,,,,,10703900,,,,,,,,,16093100,,,
29169,,,,,,,,11442900,,,,,,,,,,3069950,,,,,,,,,,,,,
29112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678948,
