,Sample name,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_1,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_2,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3,20210306_C2_80min_RayN331Q_lowMS1_3
29107,,,,,,,61107100,,,,,,,,,,45813600,29591800,,,,,,,,,61424300,,,,
29106,,,,,,,,8057790,,,,,,,,,,,,,,,,,,,,6590090,,,
29087,,,,,,,,,,,,,,3447820,,,,,,,,,,,,,,,,,
29086,,,,2721490,,,,,,,,,,,,,,,,,,,,7541840,,,,,,,
29066,,,,,,,,,,,,,,,,,8296940,,,,,,,,,,,,,,
29065,,,,,,,8463200,,,,,,,,,,,,,,,,,,,,11544800,,,,
29063,,,,,,,,,,,,,,,,,,7454550,,,,,,,,,,,,,
29057,,,,,,,,4305700,,,,,,,,,,,,,,,,,,,,,,,
29053,,,,,,,,,,,,2033030,,,,,,,,,,1722320,,,,,,,,,
29051,,2035210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1911540,,
29041,,,,,,,,,,,,,,,,,,,5725720,,,,,,,,,,,,
29040,,,,,,,,,4580150,,,,,,,,,,,,,,,,,,,,,,
29039,,,,,,,,4880150,,,,,,,,,,,,,,,,,,,,,,,
29038,,,,,,,,,,,,,,,,,,,,,,,,,,,,5259420,,,
29026,,,,,,,,,,,,,,,,,,,,,,,,,,,5800570,,,,
29024,,,,,,,,,,,,,,,,,,4130400,,,,,,,,,,,,,
29022,,,,,,,4169270,,,,,,,,,,,,,,,,,,,,,,,,
29012,,,,,,,,,,,,,,,,,,,,,,796617,,,,,,,,,
29011,,,2557190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29009,,,,,,,,,,,,,1549160,,,,,,,,,,,,,,,,,,
28994,,1242460,,,,,,,,,,,,,,,8193300,,,,,,,,,,,,,,
28993,,,,,,,12012800,,,,,,,,,,,,,,,,,,,,11462200,,,,
28992,,,,,,,,,,,,,,,,,,,,,,,,,,2199210,,,,,
28990,,,,,,,,4400950,,,,,,,,,,,,,,,,,,,,,,,
28989,,,,,,,,,,,,,,,,,,4933170,,,,,,,,,,,,790547,
28987,,,,,,,,,,,,,,,,,,,,,,,,,,,,5206840,,,
28986,,,,,,,,,,,,,,,,2285000,,,,,,,,,,,,,,,
28958,,,,,,,,,,,,,,,,,6421160,,,,,,,,,,,,,,
28957,,,,,,,12705800,,,,,,,,,,,,,,,,,,,,,,,,
28956,,,,,,,,,,,,,,,,,,7250260,,,,,,,,,,,,,
28955,,,,,,,,,,,,,,,,,,,,,,,,,,,11420400,,,,
28954,,,,,,,,,,,,,,,,,,,,,,,,,,,,1766840,,,
28925,,,,,,,,,,,,,,,,,,,1547540,,,,,,,,,,,,
28923,,,,,,,,,,,,,,,,,,,,,,,,,,,,2692730,,,
28914,,,,,,,,,,,,,,,,,3397270,,,,,,,,,,8862270,,,,
28913,,,,,,,,,,,,,,,,,,4915720,,,,,,,,,,,,,
28911,,,,,,,5502630,,,,,,,,,,,,,,,,,,,,,,,,
28884,,,,,,,,,,,,,,,,,2824660,,,,,,,,,,,,,,
28882,,,,,,,,,,,,,,,,,,,,,,,,,,,8567380,,,,
28881,,,,,,,,,,,,,,,,,,6738890,,,,,,,,,,,,,
28880,,,,,,,8112300,2809990,,,,,,,,,,,,,,,,,,,,2945890,,,
28875,,,,,,,,,,,,,,,,,,,,,,1278700,,,,,,,,,
28874,,1884120,3231790,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28869,,,,,,,,,,,1011860,,,,,,,,,,,,,,,,,,,,
28862,,,,,,,,5901360,,,,,,,,,,,5103730,,,,,,,,,7280930,,,
28847,,,,,,28911700,,,,,,,,,,,,,,,,,,,,,,,,,
28846,,,,,,,33710700,,,,,,,,,34222600,29776300,,,,,,,,,44923100,,,,,
28845,,,,,,,,,,,,,,,,,,,,,,,,,,,23001600,,,,
28842,,,,,,,,,,,,,,,,,,5035410,,,,,,,,,,,,,
28816,,,,,,,,,,,,,,,,,,,1081490,,,,,,,,,,,,
28813,,,,,,,,1952560,,,,,,,,,,,,,,,,,,,,,,,
28811,,,,,,,,,,,,,,,,,,2344250,,,,,,,,,,,,,
28810,,,,,,,,,,,,,,,,,,,,,,,,,,,6414160,,,,
28808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501303
28807,,,,,,,10088700,,,,,,,,,,6833580,,,,,,,,,,,,,,
28806,,,,,,,,,,,,,,,,1711020,,,,,,,,,,,,,,,
28792,,1476570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28781,,,,,,,,,,,,,,,,,,,,,,932769,,,,,,,,,
28780,,,,,,,,6099860,,,,,,,,,,,,,,,,,,,,,,,
28779,,,,,,,,,,,,,,,,,,5247090,,,,,,,,,,5603870,,,
28775,,,,,,,,,,,,,,,,1642540,,,,,,,,,,,,,,,
28772,,,,,,,,,,,,,,,,,,,,,,,,,,2767840,,,,,
28770,,1530230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28767,,,,,,,,,,,,,,2779760,,,,,,,,,,,,,,,,,
28761,,,,,,,,,,,,,,,,,6956330,,,,,,,,,,,,,,
28760,,,,,,,10965800,,,,,,,,,,,,,,,,,,,,,,,,
28759,,,,,,,,,,,,,,,,,,,,,,,,,,,11804600,,,,
28758,,,,,,,,4584110,,,,,,,,,,10401400,,,,,,,,,,,,,
28757,,,,,,,,,,,,,,,,,,,,,827330,,,,,,,,,,
28748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082510,
28745,,,,,,,,,,,,,,,,,,,2549310,,,,,,,,,,,,
28734,,,,,,,,,,,,,,,,,9311090,,,,,,,,,,6454460,,,,
28733,,,,,,,8975400,,,,,,,,,7961440,,,,,,,,,,10443100,,,,,
28732,,,,,,8115620,,,,,,,,,,,,,,,,,,,,,,,,,
28715,,,,,,,8898090,,,,,,,,,,,8077340,,,,,,,,,7992660,,,,
28714,,,,,,,,2776480,1940610,,,,,,,,,,,,,,,,,,,,,,
28700,,,,,,3579670,,,,,,,,,,,,,,,,,,,,,,,,,
28699,,,,,,,9253110,,,,,,,,,,7856120,,,,,,,,,8965590,,,,,
28698,,,,,,,,,,,,,,,,5309080,,,,,,,,,,,6660650,,,,
28676,,,,,,,,,,,,,2111530,,,,,,,,,2081880,,,,,,,,,
28674,,,,,,,,,,,,,,,,,,,,,,,3208520,,,,,,,,
28673,,,,,,,,,,,,,,,,3933110,,,,,,,,,,,,,,,
28671,,,1965980,,,7804860,,,,,,,,,5126900,,,,,,,,,,,,,,,,
28665,,,,,,,,,,,,,,2584740,,,,,,,,,,,,,,,,,
28664,,,,,,,,,,956530,,,,,,,,,,,,,,,,,,,,,
28663,,,,,,,,7063040,,,,,,,,,,,,,,,,,,,,,,,
28662,,,,,,,,,7089020,,,,,,,,,,7856730,,,,,,,,,8655160,4329470,,
28660,,,,,,,,,,,,,,,,,,5144220,,,,,,,,,,,,,
28654,,,,,,,7912300,,,,,,,,,,5201650,,,,,,,,,,,,,,
28652,,,,,,,,,,,,,,,,,,,,,,,,,,,5662890,,,,
28646,,,,,,,,,,1292710,,,,,,,,,,,,,,,,,,,,,
28645,,,,,,,,,,,,,,,,,,,,3783310,,,,,,,,,2743510,,
28640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772905,
28631,,,,,,,,,,,,,,,,,3304090,,,,,,,,,,,,,,
28619,,,,,,,,5914990,3560720,,,,,,,,,,8353850,,,,,,,,,,,,
28618,,,,,,,,,,,,,,,,,,,,,,,,,,,,12670600,,,
28607,,,,,,,,,,,,,,,,,,,,,,,,,,6308610,,,,,
28606,,,,,,,11991100,,,,,,,,,,7863650,,,,,,,,,,,,,,
28605,,,,,,,,,,,,,,,,,,,,,,,,,,,10103500,,,,
28604,,,,,,4051670,,,,,,,,,,3523540,,,,,,,,,,,,,,,
28602,,,,,,,,,,,,,,,,,,10138100,,,,,,,,,,,,,
28600,,,,,,,,,,,,,,,,,,,,2361670,,,,,,,,6158930,,,
28599,,,,,,,,6490710,2466880,,,,,,,,,,,,,,,,,,,,1469660,,
28583,,,,,,,,,,,,,,,,,,,1171350,,,,,,,,,,,,
28569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490442
28558,,,,,,,,,,,,,,,,,,,,,,,,,,,,16816300,,,
28557,,,,,,,,17972200,,,,,,,,,,20529400,,,,,,,,,,,,,
28556,,,,,,,13862400,,,,,,,,,,,,,,,,,,,,14357400,,,,
28555,,,,,,,,,,,,,,,,,,,,,,,,,,3743730,,,,,
28554,,,,,,,,,,,,,,,,,7958450,,,,,,,,,,,,,,
28542,,,,,,,,,,,,,,,,,,,10116200,,,,,,,,,,,,
28541,,,,,,,,,,,,,,,,,,,,,,,,,,,,14184600,,,
28539,,,,,,,,,2417840,,,,,,,,,,,,,,,,,,,,,,
28538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573990,,
28533,,,,,,,,,,889441,,,,,,,,,,,,,,,,,,,,,
28532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017170,
28531,,,,,,,,,,,,,,,,,,,,1543800,,,,,,,,,,,
28529,,,2288070,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28515,,,,,,,,13981300,,,,,,,,,,28828200,,,,,,,,,,17735400,,,
28514,,,,,,,24005400,,,,,,,,,,,,,,,,,,,,21787000,,,,
28513,,,,,,,,,,,,,,,,,11643600,,,,,,,,,,,,,,
28497,,,,,,,,,,,,,,,,,,,8912500,,,,,,,,,,,,
28495,,,,,,,,,3023710,,,,,,,,,,,,,,,,,,,,,,
28492,,,,,,,,,,1923300,,,,,,,,,,2063290,,,,,,,,,,,
28474,,,,,,,,,,2238030,,,,,,,,7429580,,,,,,,,,,,,,549076
28472,,,,,,,,,,,,,,,,,,,,790412,,,,,,,,,,,
28469,,,,,,,,,,,,,,,,,,,,,603581,,,6021980,,,,,,,
28459,,,,,,4866650,,,,,,,,,,,,,,,,,,,,,,,,,
28455,,,,,,,62177400,,,,,,,,,,56374900,,,,,,,,,10954600,53849100,,,,
28454,,,,,,,,,,,,,,,,6086980,,,4687420,,,,,,,,,,,,
28452,,,,,,,,,,,,,,,,,,,,1156570,,,,,,,,,,,
28448,,,,,,,,,,1034280,,,,,,,,,,,,,,,,,,,,,
28439,,,,,,,,,,,,,,,,,,18345200,,,,,,,,,,,,,
28438,,,,,,,,9433020,,,,,,,,,,,,,,,,,,,,9283150,,,
28431,,,,,,,,,1749260,,,,,,,,,,,,,,,,,,,,,,
28411,,,,,,,84971600,,,,,,,,,71626400,82105800,,,,,,,,,,67696800,,,,
28410,,,,,,59448400,,,,,,,,,,,,,,,,,,,,86677800,,4975230,,,
28408,,,,,,,,,,,,,,,,,,,,,,952978,,,,,,,,,
28394,,,,,,,,,,,,,,,,,,18329200,,,,,,,,,,,,,
28391,,,,,,,,15034000,,,,,,,,,,,,,,,,,,,,,,,
28390,,,,,,,,,,,,,,,,,,,,,,,,,,,,17801400,,,
28389,,,,,,,,,5903320,,,,,,,,,,12760400,,,,,,,,,,,,
28373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728998,
28372,,,,,,,,,5107930,,,,,,,,,,,,,,,,,,,,3388460,,
28371,,,,,,,,6288780,,,,,,,,,,,,,,,,,,,,10257300,,,
28370,,,,,,,16845800,,,,,,,,,,17815600,3114750,,,,,,,,12260700,11876700,,,,
28369,,,,,,,,,,,,,,,,4866670,,,,,628860,,,,,,,,,,
28349,,,,,,,,,,,,,,,,,,,,,,,,,,,7343080,,,,
28348,,,,,,,7810780,,,,,,,,,,,,,,,,,,,,,,,,
28347,,,,,,,,,,,,,,,,,,15213700,,,,,,,,,,,,,
28346,,,,,,,,,,,,,,,,,,,9208270,,,,,,,,,16217300,,,
28345,,,,,,,,16308400,,,,,,,,,,,,,,,,,,,,,,,
28340,,,,,,,,,,,,,,,,,,,,,,,2338330,,,,,,,,
28330,,,,,,,,,,,,,,,,,4675970,,,,,,,,,,,,,,
28329,,,,,,,,,,,,,,,,,,,,,,,,,,3226170,,,,,
28327,,1744900,,,,,,,,,,,,,,,,,4093890,,,,,,,,3854940,,,,
28326,,,,,,,,,2948730,,,,,,,,,,,,,,,,,,,,,,
28308,,,,,,,6011790,,,,,,,,,,7334470,,,,,,,,,,10830400,,,,
28286,,,,,,,7786650,,,,,,,,,,,,,,,,,,,,8062100,,,,
28284,,,,,,,,,,,,,,,,,,11597600,,,,,,,,,,,,,
28283,,,,,,,,6491840,,,,,,,,,,,,,,,,,,,,8291710,,,
28280,,,,,,,,,,,,,,,,,,,3767060,,,,,,,,,,,,
28265,,,,,,,20552200,,,,,,,,,8593440,21616500,,,,,,,,,10337000,18538100,,,,
28246,,,,,,,,,,,,,,,,,,2673410,,,,,,,,,,,,,
28243,,,,,,,,2365300,,,,,,,,,,,,,,,,,,,,,,,
28239,,,,,,,,,,,,,,,,,,,,,2336290,,,,,,,,,,
28237,,,,,,,,,,893708,,,,,,,,,,,,,,,,,,,,,
28224,,,,,,,7737940,,,,,,,,,,,,,,,,,,,,6796440,,,,
28223,,,,,,,,,,,,,,,,,4125310,,,,,,,,,,,,,,
28221,,,,,,,,,,,639077,,,,,,,,,,,,,,,,,,,,
28206,,,,,,,,,,,,,,,,,,5404300,,,,,,,,,,,,,
28205,,,,,,,,,,,,,,,,,,,,,,,,,,,3887750,,,,
28204,,,,,,,,5056350,,,,,,,,,,,,,,,,,,,,,,,
28203,,,,,,,,,,,,,,,,,,,,,,,,,,,,6948110,,,
28199,,,,,,,,,,,,,,,,,,,3860990,,,,,,,,,,,,
28197,,,,,,,,,3115200,,,,,,,,,,,,,,,,,,,,,,
28190,,,,,,,,,,,,,,,,,,,,1584000,,,,,,,,,,,
28188,,,,,,,,,,,2831860,,,,,,,,,,,,,,,,,,,,
28179,,,,,,,,,,,,,,,,1552490,,,,,,,,,,,,,,,
28166,,,,,,,,,,,,,,,,,,11847600,,,,,,,,,,9552390,,,
28165,,,,,,,3733820,5588440,,,,,,,,,,,,,,,,,,,,,,,
28164,,,,,,,,,,,,,,,,,,,,,,,,,,,8060980,,,,
28153,,,,,,,,,,,,,,,,,,,,1136250,,,,,,,,,,,
28149,,,,,,,,,,,,,,,,,2489850,,,,,,,,,,,,,,
28148,,,,,,,6014810,,,,,,,,,,,,,,,,,,,,,,,,589254
28107,,,,,,2914310,,,,,,,,,,,,,,,,,,,,,,,,,
28106,,,,,,,7067360,,,,1198510,,,,,,,,,,,,,,,,3580490,,,,818108
28098,,,,,,,,,,,,,,,,,,2504860,,,,,,,,,,,,,
28075,,,,,,,,,,827827,,,,,,,,,,,,,,,,,,,,,
28063,,,,,,,16326600,,,,,,,,,,11869100,,,,,,,,,,18699700,,,,
28046,,,,,,,,,,,,,,,,,,,,,,,,,,,,2537040,,,
28044,,,,,,,,,,,,,,,,,,9017200,,,,,,,,,,,,,
28043,,,,,,,,,,1566850,,,,,,,,,,,,,,,,,,,,6110960,
28042,,,,,,,,,,,,,,,,,,,,8036810,,,,,,,,,,,
28041,,,,,,,,,,,,,,,,,,,,,2068480,,,,,,,,,,
28040,,,,,,,,,3475840,,,,,,,,,,,,,,,,,,,,,,
28039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1516010,,
28038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2485540
28021,,,,,,1784790,,,,,,,,,,,6742030,,,,,,,,,,4955790,,,,
28020,,,,,,,8251030,,,,,,,,,2002250,,,,,,,,,,,,,,,
28019,,,,,,,,,,,,,,,,,,,,,,,,,,3535000,,,,,
28003,,,,,,,,,,1381330,,,,,,,,,,,,,,,,,,,,,
27977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843017,
27976,,,,,,,,,,2977760,,,,,,,,,,,,,,,,,,,,,
27941,,,,,,,,,24686500,,,,,,,,,,12027000,,,,,,,,,,29843200,,
27940,,,,,,,,,,,,,,,,,,,,20080400,,,,,,,,,,,
27938,,,,,,,,,,742169,,,,,,,,,,,,,,,,,,,,,
27932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1403860,
27918,,,,,,,8731290,,,,,,,,,,,,,,,,,,,,,,,,
27916,,,,,,,,,,,,,,,,,7980090,,,,,,,,,,8196770,,,,
27915,,,,,,,,,,,,,,,,,,,,,,,,,,3066540,,,,,
27900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3770430,,
27899,,,,,,,,,,,,,,,,,,3870540,,,,,,,,,,,,,
27898,,,,,,,,,2700940,,,,,,,,,,,3129600,,,,,,,,,,,
27896,,,,,,,,,,1540340,,,,,,,,,,,,,,,,,,,,,
27875,,,,,,,,,,,,,,,,,2557700,,,,,,,,,,3855310,,,,
27874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544250
27854,,,,,,,,,,,,,1574850,,,,,,,,,,,,,,,,,,
27852,,,,,,,,,,,,,,,,,,,,,,,5369620,,,,,,,,
27833,,,,,,,,,,,,,2025410,,,,,,,,,,,,,,,,,,
27828,,,,,,,,,16179600,,,,,,,,,,11461900,,,,,,,,,,18456300,,
27827,,,,,,,,,,,,,,,,,,,,8822020,,,,,,,,,,,
27793,,,,,,,,,,,,,,,,,,,1712140,,,,,,,,,,2826750,,
27791,,,,,,,,,3073140,,,,,,,,,,,,,,,,,,,,,,
27763,,,,,,,,,,945639,,,,,,,,,,,1413960,,,4587580,,,,,,,
27754,,,,,,,,,,,,,,,,,,,,,,,,,,,4583690,,,,
27749,,,,,,,,,,,,,,,,,,,,719398,,,,,,,,,,,
27748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064710,,
27745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680729,
27740,,,,,,,,,,,,,,,,,,,,,,,,,,,,2589640,,,
27733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479335
27713,,,,,,,,,,,,,,,,3140750,,,,,,,,,,,,,,,
27712,,,,,,,12702500,,,,,,,,,,15692600,,,,,,,,,4299670,,,,,
27711,,,,,,,,,,,,,,,,,,,,,,,,,,,13632000,,,,
27707,,,,,,,,,,,,,,2914480,,,,,,,,,,,,,,,,,
27705,,,,,,,,,,,,,,,,,,,,,,,,3910090,,,,,,,
27694,,,,,,,,,,,,,,,,,,,,,580476,,,,,,,,,646242,
27692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511343
27685,,,,,,,,,,,,,,,,,,,,924420,,,,,,,,,,,
27682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729580,,
27681,,,,,,,,,,,,,,2772090,,,,,,,,,,,,,,,,,
27654,,,,,,,,,,,,,,,,,,,,,,,,4830600,,,,,,,
27647,,,,,,,,,,,,,,,,,,,,2448430,,,,,,,,,,,
27645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3437510,,
27643,,,,,,,,,2473690,,,,,,,,,,,,,,,,,,,,,,
27615,,,,,,,,,,,,,2113240,,,,,,,,,,,,,,,,,,
27611,,,,,,,,2175730,,,,,,,,,,,4407770,,,,,,,,,,,,
27610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2190730,,
27609,,,,,,,,,3240700,,,,,,,,,,,,,,,,,,,,,,
27593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2048390,,
27592,,,,,,,,,2968210,,,,,,,,,,,,,,,,,,,,,,
27591,,,,,,,,,,,,,,,,,,,,1531250,,,,,,,,,,,
27587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1811530,
27586,,,,,,,,,,2083920,,,,,,,,,,,,,,,,,,,,,
27584,,,,,,,,,,,,,,,,,,,,,659914,,,,,,,,,,
27569,,,,,,,,,,,,,1877990,,,,,,,,,,,,,,,,,,
27567,,,3672870,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27557,,,,,,,,,,,,,,,,,,,,,,,,3325630,,,,,,,
27552,,,,,,,,,,,,,,,,,,,,2425090,,,,,,,,,3246070,,
27550,,,,,,,,,1547920,,,,,,,,,,,,,,,,,,,,,,
27549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910692,
27548,,,,,,,,,,1112480,,,,,,,,,,,,,,,,,,,,,
27529,,,,,,,,,,,,,,,,,,,,2070690,,,,,,,,,,,
27528,,,,,,,,,,,,,,,,,,,,,,,,3381760,,,,,,,
27527,,,,,,,,,5140050,,,,,,,,,,,,,,,,,,,,,,
27526,,,,,,,,,,,,,,,,,,,,,,,,,,,,6238730,4112110,,
27525,,,,,,,,,,,,,,,,,,,6641940,,,,,,,,,,,,
27524,,,,2502390,,,,,,,,,,,,,,,,,,,,,,,,,,,
27510,,,,,,,,,,,,,,,,,,,,,,,2667110,,,,,,,,
27508,,,,,,,,,,,,,2012770,,,,,,,,,,,,,,,,,,
27482,,,,,,,,,,,,,,,,,,,,1649050,,,,,,,,,,,
27481,,,,,,,,,,,,,,,,,,,2875570,,,,,,,,,,2926930,,
27450,,,,,,,,,,2178880,,,,,,,,,,,,,,,,,,,,,
27448,,,,,,,,,,,,,,,,,,1468520,,,,,,,,,,,,,
27447,,,,,,,,,,,,,,,,1881980,,,,,,,,,,,,,,,
27443,,,,,,,,,3748370,,,,,,,,,,,,,,,,,,,,,,
27442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4168960,,
27441,,,,,,,,,,,,,,,,,,,,2004140,,,,,,,,,,,
27436,,,2032870,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27433,,,,,,2788270,,,,,,,,,,,,,,,,,,,,,,,,,
27421,,,,,,,,,,,,,2622170,,,,,,,,,,,,,,,,,,
27402,,,,,,,,,,,,,,,,1983860,,,,,,,,,,,,,1411650,,
27401,,,,,,,,,,,,,,3054030,,,,,,,,,,,,4061170,,,,,
27398,,,,,,,,,,,,,1655490,,,,,,,,,,,,,,,,,,
27397,,,,,,,,,,,672194,,,,,,,,,,,,,,,,,,,,
27379,,,,,,,,,,,,,,,,,,,,,,,1881840,,,,,,,,
27356,,,,,,2992050,,,,,,,,,,2054980,,,,,,,,,,,,,,,
27353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789839,
27351,,,,,,,,,,,,,,,,,,,,,,1275890,,,,,,,,,
27350,,1306470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27317,,,,,,,,,,898069,,,,,,,,,,,,,,,,,,,,,
27310,,,,,,1964360,,,,,,,,,,,,,,,,,,,,,,,,,
27271,,,2245100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27243,,,,,,,,,,1192370,,,,,,,,,,6609160,,,,,,,,,,,
27242,,,,,,,,,4638600,,,,,,,,,,,,,,,,,,,,3634650,,
27240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1487580,
27234,,,,,,,,,,,,,,,,,,,,,,,7271320,,,,,,,,
27233,,,,,,,,,,,,1647820,,,,,,,,,,,,,,,,,,,
27231,,,,,,,,,,,,,6489730,,,,,,,,,,,,,,,,,,
27216,,,,,,,,,,,,,,,,,,,,,,979398,,,,,,,,,
27196,,,,,,,,,,,,,,,,,,,,,,919965,,,,,,,,,
27165,,,,,,5984250,,,,,,,,,,,,,,,,,,,,,,,,,
27162,,,,,,,,,,,,,,,,,,,,,,,,,3613620,,,,,,
27155,,,,,,,,,,,572354,,,,,,,,,,,,,,,,,,,,
27149,,,,,,3014310,,,,,,,,,,,,,,,,,,,,,,,,,
27139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604932
27131,,,,,,,,,4331880,,,,,,,,,,,,,,,,,,,,,,
27130,,,,,,,,,,,,,,,,,,,,5117210,,,,,,,,,,,
27129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2979030,,
27109,,,,,,,,,,,,,,,,,,,,,,,2133120,,,,,,,,
27073,,,,,,5154100,,,,,,,,,,,,,,,,,,,,,,,,,
27049,,,,,,2309720,,,,,,,,,,,,,,,,,,,,,,,,,
27029,,,,,,,,,,,,,,,,,,,,,,,2797230,,,,,,,,
