,Sample name,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Name,
31874,,,,,,,,,,,,,,,,,,,,,25827.6,,,,,,,,,,
31851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37655.2,,
31822,,,,,,,,,,24955.5,,,,,,,,,,,,,,,,,,,,,
31810,,68032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31803,,,,,,,,,,,,,,,,,,,,,,,,,32109.8,,,,,,
31784,,76347.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31637,,,,,,,,,,26914.3,,,,,,,,,,,,,,,,,,,,,
31624,,,,,,,,,,,,,,,,,,,,,,73600,,,,,,,,,
31613,,,,,,,,,,,,,,,,,,,,36678.5,,,,,,,,,,,
31591,,,,,,,,,,,,,,,,,,,,35342.4,,,,,,,,,,,
31590,,,,,,,,,,38389,,,,,,,,,,,,,,,,,,,,,
31562,,,,,,,,,,,,,,,,,,,,34074.7,,,,,,,,,,,
31540,,,,,29160.6,,,,,,,,,,,,,,,,,,,,,,,,,,
31536,,,,,,,,,,,,,,,,,,,,40592.2,,,,,,,,,,,
31503,,,,,,,,,,,58664.3,,,,,,,,,,,,,,,,,,,,
31497,,,,,,,,,,,,,,,,,,,44830.3,,,,,,,,,,,,
31476,,,,,,,,,,38385.3,,,,,,,,,,,,,,,,,,,,,
31473,,,,,,,,,,,71277.6,,,,,,,,,,,,,,,,,,,,
31470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36774.5
31468,,,,,,,,,,,,,,,,,,,,27834.5,,,,,,,,,,,
31467,,,,,,,,,,,,,,,,,,,,,52548.1,,,,,,,,77638.7,,
31459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33710.8,
31442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35781
31432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52059.5,,
31431,,,,,,,,,,,,,,,,,,,,,40720.6,,,,,,,,,51478.6,
31413,,,,,,,,,,,,,,,,,,,,,,,,,,,,52195,,,
31411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50038.5,62246.4,
31409,,,,,,,,,,,,,,,,,,,71819.1,,,,,,,,,,,,
31408,,,,,,,,,,,,,,,,,,,,24794.6,,,,,,,,,,,
31403,,,,,,,,,40108.4,,62485.1,,,,,,,,,,,,,,,,,,,,
31399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67165.8
31390,,,,,,,,,,,,,,,,,,,63574.6,,,,,,,,,,,,
31387,,,,,,,,,,,,,,,,,,,,,89431.1,,,,,,,,,,
31375,,,,,,,,,,,43537.9,,,,,,,,,,,,,,,,,,,,
31373,,,,,,,,,,62605.7,,,,,,,,,,,,,,,,,,,,,
31359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86413.8,,
31346,,,,,,,38681.4,,,,,,,,,,,,,,,,,,,,,,,,
31339,,,,,,,,,,,,,,,,,,,58927.1,,,,,,,,,,,,
31338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42061.1
31333,,,,,,,,,,30077.5,,,,,,,,,,,,,,,,,,,,,
31330,,,,,,,,59081.7,,,,,,,,,,,,,103618,,,,,,,,,,
31328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79697.4,,
31326,,,,,,,,,,,,,,,,41085.8,,,,,,,,,,,,,,,
31324,,,,,,,43355,,,,90832.3,,,,,,,,,,,,,,,,,,,,
31322,,,,,,,,,,,,,,,,,,,,,,,,,,39377,,,,,
31305,,,,,,,,,,51478.6,,,,,,,,,,,,,,,,,,,,,
31295,,,,,,,,,,,,,,,,,,,,,88387.8,,,,,,,,,,
31289,,,,,,,,,,,52046.2,,,,,,,,,,,,,,,,,,,,
31276,,,,,,,,,,,,,,,,,,,72815.2,,,,,,,,,,,,
31269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47044.8,
31263,,,,,,,,,,,,,,,,67519.4,,,,,,,,,,,,,,,58489.5
31256,,,,,,,57242.3,,,,,,,,,,,,,,,,,,,,,,,,
31255,,,,,,,,,,,,,,,,,,,,105700,,,,,,,,,,,
31254,,,,,,,,,,,,,,,,,,,,,,,,,,40085.6,,,,,
31253,,,,,,,,,,,,,,,,,,,,,53389.3,,,,,,,,,,
31252,,,,,,,,64972.4,,,,,,,,,,,,,,,,,,,,,,53745.8,
31247,,,,,,,,,,,,,,,,,,,,,,,,,,,36901.3,,,,
31246,,,,,,,,,,64063,85904.7,,,,,,,,,,,,,,,,,,,,
31244,,,,,,,,,,,,,,,,,,,,,,,,,,,,62709.5,,,
31242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61982.2
31238,,,,,,,43119.6,,,,,,,,,,,,,,,,,,,,,,,,
31235,,,,,,,,,,,,,,,,,,,83241.2,,,,,,,,,,,,
31226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59552.4,,
31222,,,,,,,,,,,,,,,,,,,,,,,,,,47149.4,,,,,
31219,,,,,,,,,,72037,,,,,,,,,,,,,,,,,,,,,
31218,,,,,,,,205255,,,,,,,,,,,72767.6,,,,,,,,72829.3,131973,,61406.5,
31217,,,,,,49310.5,,,87958.4,,113504,,,,,44497.8,,75361.3,,,,,,,,,,,,,
31216,,,,,,,,,,,,,,,,,,,,97474.7,,,,,,,,,,,
31215,,,,,,,95129.6,,,,,,,,,,,,,,,,,,,,,,,,
31211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70576.3
31210,,,,,,,,,,,,,,,,,,,,,95264.1,,,,,,,,,,
31195,,,,,,,,56882.4,,,,,,,,,,,,,,,,,,,,,,,
31193,,,,,,,,,,,,,,,,,,,,78824.3,,,,,,,,,,,
31192,,,,,29969.4,,,,,,,,,,,,,,,,,,,,,,,,,,
31191,,,,,,,,,,,,,,,,,63012,,,,,,,,,47406.3,,,,,
31190,,,,,,,,,,98121.3,,,,,,,,,,,,,,,,,,,,,
31189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75542.2,
31186,,,,,,,,,65427.8,,94770.8,,,,,,,,,,,,,,,,,,,,
31184,,,,,,,,,,,,,,,,,,,100718,,,,,,,,,,,,
31177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45908.8
31176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96515.7,,
31175,,,,,,,,,,,,,,,,,,50905.5,,,,,,,,,,,,,
31171,,,,,,,81076.9,,,,,,,,,,,,,,,,,,,,,,,,
31170,,,,,,,,,,,,,,,40612.1,,,,,,105005,,,,,,,,,,
31165,,,,,,,,,,,,,,,,,,,,35461.8,,,,,,,,,,,
31154,,,,,,,86606.7,,,,,,,,,,,,,,,,,,,,,,,,
31153,,,,,,,,55730.1,,,,,,,,,,,,,,,,,,,,,,,
31152,,,,,,,,,,,,,,,,,,,,,,,,,,,71887.6,,,,
31146,,,,,,,,,,,,,,,,,,,,,127841,,,,,,,,,,
31143,,,,,,,,,,,,,,,,,,,,,,,,,,,,53318.2,,,
31142,,,,,,,,,,,,,,,,59210.8,,,,,,,,,,,,,,,
31136,,,,,,,,,133407,,,,,,,,,,,163900,,,,,,,,,,162250,
31135,,,,,,,,,,,,,,,,,,72846.6,,,,,,,,,,,,,152400
31134,,,,,,,,,,207234,204917,,,,,,,,,,,,,,,,,,,,
31133,,,,,,,,,,,,,,,,,,,103324,,,,,,,,67559.3,,,,
31132,,,,,,,57228.4,,,,,,,,,,,,,,,,,,,,,,126001,,
31116,,,,,,,,42799.5,,,,,,,,,,,,,,,,,,,,54511,,,
31113,,,,,,,,,,,,,,,,42340,,,,,,,,,33514.4,,,,,,
31109,,,,,,,,,76327,,,,,,,,,,,,,,,,,,,,,,
31108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83802.8
31105,,,,,,,,,,,,,,,,,,53260.3,77560.1,,,,,,,,,,,,
31104,,,,,,,54699.3,,,,,,,,,,,,,,,,,,,,,,,,
31102,,,,,,,,,,,140436,,,,,,,,,77838.5,102316,,,,,,,,,,
31101,,,,,,,,,,110410,,,,,,,,,,,,,,,,,,,,,
31097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75124.5,
31096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72282.7,,
31095,,,,,,,,,,,,,,,,,,,,,,,,,,,69540.4,,,,
31090,,,,,,,,63819.2,,,,,,,,,,,,,,,,,,69790.2,,,,,
31078,,,,,,,,,,92592.4,,,,,,,,,,,,,,,,,,,,,
31077,,,,,,,,,,,,,,,,,,118436,,,,,,,,,,,,,
31076,,,,,,,,,,,,,,,,,,,,,,,,,,,,113795,,,
31075,,,,,,,,,,,123169,,,,,,,,,,,,,,,,,,,97620.1,
31074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117720,,
31073,,,,,,,,,173756,,,,,,,,,,,,165164,,,,,,,,,,
31071,,,,,,,102925,80275.5,,,,,,,,,,,,103508,,,,,,,,,,,
31070,,,,,,,,,,,,,,,,,,,139544,,,,,,,,,,,,
31068,,,,,,44918.9,,,,,,,,,,,,,,,,,,,,,,,,,
31062,,,,,,,,,,,,,,,,,,,,,,,,,,56796.9,,,,,
31059,,,,,,,,,,,,,,,,63817.5,,,,,,,,,,,,,,,
31048,,,,,,,,,,,,,,,,,,,,,,,,,,,77991.5,,,109533,
31046,,,,,,,,,,,,,,,,,,97509,,,,,,,,,,,,,
31042,,,,,,,,,,,,,,,,,,,104224,,,,,,,,,,,,
31039,,,,,,,,,116838,,,,,,,,,,,,,,,,,,,,,,
31037,,,,,,,,82460.6,,,,,,,,,,,,,,,,,,68509.8,,,135459,,
31036,,,,,,,86769,,,,,,,,,,,,,114597,,,,,,,,,,,
31033,,,,,,,,,,108806,,,,,,,,,,,,,,,,,,,,,
31031,,,,,,,,,,,,,,,,,,,,,,,,,,,81716.5,51936.4,,,42035.5
31029,,,,,,,,,,,,,,,,,,,,,70737.2,,,,,,,,,,
31024,,,,,,,,,,,,,,,44670.4,,,,,,,,,,,,,,,,
31022,,,,,,,,,,,,,,,,,,82390.5,,,,,,,,,,,,,
31016,,,,,,,72978,,,,,,,,,,,,,,,,,,,,,,,,
31013,,,,,,,,,,,,,,,,,,,,,,,,34302.1,,,,,,,
31011,,,,,,,,,,,,,,,,46665,,,,,,,,,,,,,,,
31010,,,,,,,,,,,,,,,,,43987.6,,,,,,,,,,,,,,
31006,,,,,,,,,,,,,,,,,,,,,,,,,,57229.7,,,,,
30994,,,,,,,,,,,,,,,,,,,,,,,,,,,59191.9,,,,
30993,,,,,,85034.2,,,,,,,,,,,,,,,,,,,,,,,,,
30992,,,,,,,,,95159.8,,,,,,,,,,,,,,,,,,,,,,
30991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139989,,
30990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307005,
30989,,,,,,,,,,292030,332017,,,,,,83430.6,,166470,224629,,,,,,,,,,,
30988,,,,,,,117287,,,,,,,,,,,,,,276648,,,,,,,,,,200485
30986,,,,,,,,,,,,,,,,,,,,,,,,,,,,108540,,,
30975,,,,,,,,,,,,,,,,,,,,,,,,,,59071.7,,,,,
30971,,,,,,,,,,,,,,,,80062,,,,,,,,,,,,,,,
30968,,,,,66042.4,,,,,,,,,,,,,,,,,,,,,,,,,,
30967,,,,,,,,,,,,,,,,,,,,,,,,,,,85815.1,,,,
30965,,,,,,,,,,,,,,,,,,,,,,,,,,,,104239,,,
30962,,,,,,,,122994,,,,,,,,,,,,,,,,,,,,,,,
30960,,,,,,,,,,,,,,,,,,77236.8,,,117739,,,,,,,,,,63571
30959,,,,,,,,,,,,,,,,,,,173511,,,,,,,,,,,,
30958,,,,,,,,,208809,,,,,,,,,,,,,,,,,,,,,,
30957,,,,,,,,,,171360,,,,,,,,,,154521,,,,,,,,,,,
30956,,,,,,,,,,,160658,,,,,,,,,,,,,,,,,,173755,130314,
30950,,,,,,,107275,,,,,,,,,,,,,,,,,,,,,,,,
30948,,,,,,,,,,,,,,,,,,,,,,,,34492.4,,,,,,,
30947,,,,,,105308,,,,,,,,,,,,,,,,,,,,79751.9,,,,,
30946,,,,,,,,,,,,,,,,,91758.8,,,,,,,,,,,,,,
30935,,,,67833.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
30934,,,,,,,,,,,,,,,,,,,,,,,,,,,98988.3,,,,
30932,,,,,,,,,,,125553,,,,,,,,,,,,,,,,,,,,
30931,,,,,,,115859,,,,,,,,,,,,,,,,,,,,,,,,
30928,,,,,,,,,204870,,,,,,,,,132531,,,,,,,,,,,177916,,105013
30926,,,,,,,,,,207015,,,,,,,,,,,,,,,,,,,,,
30925,,,,,,,,,,,,,,,,,,,166244,124755,,,,,,,,101075,,,
30923,,,,,,,,,,,,,,,,,,,,,137473,,,,,,,,,,
30922,,,,,,,,84360.7,,,,,,,,,,,,,,,,,,,,,,124966,
30919,,,,,,,,,,,,,,,,90558.1,,,,,,,,,,,,,,,
30912,,,,,,99437.4,,,,,,,,,,,,,,,,,,,,,,,,,
30909,,,,,,,103076,,,,,,,,,,,,,,,,,,,,,,,,
30902,,,,,,,,,,,132806,,,,,,,,,,,,,,,,,,,,94842.6
30899,,,,,,,,,,,,,,,,,65882.8,,,,,,,,,68685.5,,,,,
30898,,,,,,,,,,,,,,,,,,,,,,,,,,,92120,,,,
30897,,,,,48385.8,,,,,,,,,,,,,,,,,,,,,,,,,,
30896,,,,,,,,,,,,,,,,79503.5,,,,,,,,,,,,,,,
30891,,,,,,,,,,,,,,,,,,,,,,,,,,,,144779,,,
30890,,,,,,,,,,,,,,,,,,,,,110749,,,,,,,,,,
30889,,,,,,,,,212301,,,,,,,,,,134787,,,,,,,,,,,171163,
30887,,,,,,,,,,179967,,,,,,,,,,,,,,,,,,,234734,,
30885,,,,,,,,,,,,,,,,,,163912,,176950,,,,,,,,,,,
30878,,,,,,,,,,,,,,,,,,,,,,,,,,96324.5,,,,,
30873,,,,,,,,,,,,,,,,123526,,,,,,,,,,,,,,,
30871,,,,,,,,,,,,,,,,,,,,,,,,,,,95797.7,,,,
30870,,,,,,114349,130487,,,,,,,,,,,,,,,,,,,,,,,,
30867,,,,,,,,,,,,,,,,,,,,,,,,,,,,103907,,,
30865,,,,,,,,147346,,,,,,,,,,,,,,,,,,,,,,,
30862,,,,,,,,,,,,,,,,,118713,,,,,,,,,,,,,,
30858,,,,,57062,,,,,,,,,,,,,,,,,,,,,,,,,,
30850,,,,,,,,,,,,,,31281.4,,,,,,,,,,,,,,,,,
30845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282263
30844,,,,,,,,,,1090070,,,,,,,,,,,323585,,,,,,,,,,
30843,,,,,,,,,1120650,,533096,,,,,,,474299,,684621,,,,,,,,,1048390,785242,
30842,,,,,,,154868,232043,,,,,,,,,,,939640,,,,,,,,,319658,,,
30841,,,,,,,,,,,,,,,,,,,,,,,,,,,122742,,,,
30840,,,,,,,,,,,,,,,,,118769,,,,,,,,,,,,,,
30839,,,,,,,,,,,,,,,,,,,,,,,,,,97275.9,,,,,
30838,,,,,,,,,,,,,,,105549,,,,,,,,,,,,,,,,
30834,,,,,,190626,,,,,,,,,,,,,,,,,,,,,,,,,
30833,,,,,59715.1,,,,,,,,,,,156367,,,,,,,,,,,,,,,
30823,,,,,,,,,,,,,,,,,,,,,,,,,78705,,,,,,
30820,,,,,,,163012,159978,,,,,,,,,,,,,,,,,,,,,,,
30819,,,,,,,,,,,,,,,,,143567,,,,,,,,,,,,,,
30818,,,,,,,,,,,,,,,,,,196047,,,,,,,,,,170444,,,
30815,,,,,,,,,269061,,79690,,,,82783.2,,,,,,,,,,,,,,,,
30814,,,,,,,,,,240718,,,,,,,,,,,,,,,,,,,,,
30813,,,,,,,,,,,,,,,,,,,229216,116067,,,,,,,,,,,
30812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199960,,
30811,,,,,,,,,,,,,,,,123335,,,,,,,,,,,,,,,71107.1
30810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106611,
30805,,,,,76588.3,,,,,,,,,,,,,,,,,,,,,108826,,,,,
30801,,,,,,111054,,,,,,,,,,,,,,,,,,,,,,,,,
30795,,,,,,,,,,,,,,,,,,,,,148758,,,,,,,,,,
30791,,,,,,,185472,,,,,,,,,,,,,,,,,,,,,,,,
30788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74171.2
30787,,,,,,,,,,,,,,,,,182892,,,,,,,,,,,,,,
30785,,,,,,,,,,,,,,,,,,,,,,,,,,,176121,,,,
30784,,,,,,,,,,,,,,,,,,,,125091,,,,,,,,,,,
30783,,,,,,,,204922,,171124,,,,,,,,,,,,,,,,,,,,,
30782,,,,,,,,,,,,,,,,,,,,,,,,,,123634,,210634,,,
30780,,,,,,,,,274801,,91623.1,,,,,,,214043,177621,,,,,,,,,,283242,,
30779,,,,,,,,,,,,,,,,,,,,,,,,,38200.1,,,,,177747,
30778,,,,,,97928.7,,,,,,,,,,,,,,,109791,,,,,,,,,,
30771,,,,64895,,,,,,,,,,,,,,,,,,,,,,,,,,,
30770,,,,,98744.9,,,,,,,,,,,,,,,,,,,,,,,,,,
30763,,,,,,,,,,,,,,,123400,,,,,,,,,,,,,,,,
30756,,,,,,208010,,,,,,,,,,,,,,,,,,,,,,,,,
30755,,,,,,,292937,,,,143550,,,,,,,,,,136897,,,,,133362,,,,,
30754,,,,,,,,,,,,,,,,,,,,,,,,,,,193326,,,257176,
30753,,,,,,,,,,,,,,,,192162,,,,,,,,,,,,,,,103855
30752,,,,,,,,,,,,,,,,,,,,221140,,,,,,,,,,,
30751,,,,,,,,,,,,,,,,,202100,,,,,,,,,,,,,,
30740,,,,73156.5,,,,454522,,339620,,,,,,,,,,,,,,,,,,557713,,,
30739,,,,,,,,,862729,,,,,,,,,673264,529613,,,,,,,,,,,,
30738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,630453,,
30733,,,,,132222,,,,,,,,,,,,,,,,,,,,,,,,,,
30724,,,,,,,,,,,,,,46713.9,,,,,,,,,,,,,,,,,
30723,,,,,,444794,,,,,,,,,,310529,,,,,,,,,,,,,,,
30722,,,,,,,,,,,,,,,,,,,,,,,,,,199771,,,,,
30721,,,,,,,,,,,,,,,,,,,,,,,,,120144,,,,,,
30717,,,,58751.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
30716,,,51701.8,,,,,,,,,,,,113567,,,,,,,,,,,,,,,,
30714,,,,,,,369977,,,,,,,,,,282177,,,,,,,,,,,,,,
30713,,,,,,,,,,,,,,,,,,,,,,,,,,,309332,,,,
30712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243854
30710,,,,,,,,,,,,,,,,,,,,,238985,,,,,,,,,,
30708,,,,,,,,331382,,,,,,,,,,,,,,,,,,,,,,,
30699,,,,,,,,,,,,,,,,,,,,,,,,,,,,368001,,,
30698,,,,,,,,,1085450,1147680,374007,,,,,,,421245,1024780,757966,,,,,,,,,1233290,884536,
30697,,,,,,,,,,,,,,,108111,,,,,,,,,,,,,,,,
30693,,,,,113016,,,,,,,,,,,,,,,,,,,,,,,,,,
30689,,,,,,,,,,,,,,,,,,,,,,,,,85083,,,,,,
30681,,,,46545.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
30680,,,,,,,,,,,,,,66172,,,,,,,,,,,,,,,,,
30677,,,,,,209321,,,,,,,,,,,,,,,,,,,,166468,,,,,
30676,,,,,,,434730,,,,,,,,,,576927,,,,,,38873.2,,,,463569,,,,
30675,,,,,,,,538593,,,,,,,,,,,,,,,,,,,,,,,69156.3
30674,,,,,,,,,,,,,,,,,,447740,,,,,,,,,,427197,,,
30672,,,,,,,,,268075,,,,,,,,,,,,,,,,,,,,,,
30671,,,,,,,,,,,,,,,,168311,,,,,,,,45176.5,,,,,,,
30670,,,,,,,,,,133926,,,,,,,,,186252,109337,,,,,,,,,,,
30669,,,,,,,,,,,94810.8,,,,,,,,,,,,,,,,,,156391,,
30661,,,,,,,,,,,,,,104707,,,,,,,,,,,,,,,,,
30660,,,,64350.6,,,,,,,,,,,,,,,,,,,,,106949,,,,,,
30657,,,,,134000,,,,,,,,,,,,,,,,,,,,,,,,,,
30654,,,,,,,,,,,,,,,124947,,,,,,,,,,,,,,,,
30647,,,,,,,,,,,,,,,,,,,,,,,42855.9,,,,,,,,
30644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171128,
30643,,,,,,,,,,,,,,,,,,,,185293,,,,,,,,,,,
30642,,,,,,,581294,,,,,,,,,,,,,,,,,,,,,,,,
30641,,,,,,426258,,,,,,,,,,,,,,,,,,,,,,,,,
30640,,,,71127.7,,,,,,276541,,,,,,,,,,,,,,,,,,,,,
30639,,,,,,,,,,,,,,,,,,,340321,,,,,,,290485,,,,,
30638,,,,,,,,,,,,,,,,308573,,,,,,,,,,,,,,,
30637,,,,,,,,,,,,,,,,,611636,,,,,,,,,,465686,,,,
30636,,,,,142325,,,,,,,,,,,,,,,,,,,,116127,,,,,,86995.1
30635,,,,,,,,866425,591378,,,,,,,,,851975,,,,,,,,,,,431815,,
30634,,,,,,,,,,,,,,,,,,,,,163527,,,,,,,797621,,,
30633,,,,,,,,,,,159825,,,,,,,,,,,,,,,,,,,,
30632,,,,,,,,,,,,,,,161193,,,,,,,,,,,,,,,,
30628,,,,,,,,,,,,,,,,,,,,,,,43837.6,,,,,,,,
30626,,,,,,,,,,,,,,,,,,,,,,,,69107.6,,,,,,,
