,Sample name,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_1,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_2,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3,JW_06092021_HILIC_Andrea_Ray_N331Q_3
30612,,,,,208120,,,,,,,,,,,,,,,,,,,,218861,,,,,,
30611,,,,99369.3,,,,,,,,,,115281,,,,,,,,,,,,,,,,,
30610,,,,,,1015970,,,,,,,,,,,,,,,,,,,,,,,,,
30609,,,,,,,,,,,,,,,249780,708229,,,,266842,165541,,,,,548775,,,,317559,
30608,,,,,,,,,,359266,,,,,,,,,,,,,,,,,,,,,
30607,,,,,,,744090,,,,,,,,,,,,,,,,,,,,,,,,
30606,,,,,,,,,,,210962,,,,,,,,,,,,,,,,,,,,155380
30596,,,,,,,,,,,,,,,,,574071,,,,,,,,,,,,,,
30594,,,80896.2,,,,,825121,,,,,,,,,,846595,,,,,,102270,,,446630,,712319,,
30593,,,,,,,,,1003230,,,,,,,,,,595874,,,,,,,,,837920,,,
30582,,,,128832,,,,,,,,,,,,,,,,,,,,,,,,,,,
30577,,,,,260785,,,,,,,,,,,,,,,,,,,,,,,,,,
30576,,,,,,,,,,,,,,,218286,,,,,,,,,,154891,,,,,,
30573,,,,,,,,,,,,,,,,,,,,,,,,97828.5,,,,,,,
30572,,,,,,,,,,,,,,98845.3,,,,,,,,,,,,,,,,,
30570,,,,,,290786,,,,,,,,,,,,,,,,,,,,,,,,,
30569,,,73107.9,,,,,,,,,,,,,301644,551865,,,,168779,,,,,247891,,,,,
30568,,,,,,,502798,,,,,,,,,,,,,,,,,,,,449818,,,,
30566,,,,,,,,,,,224515,,,,,,,,,,,,,,,,,,,,
30555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161335
30553,,,,,,,,,,,,,,,,,,,,398392,,,,,,,,,,,
30552,,,,,,,,,,668267,,,,,,,,,,,,,,,,,,,,404939,
30551,,,,,,,,,,,,,,,,,,,892391,,,,,,,,,,1026300,,
30550,,,,,,,,,1199620,,,,,,,,,648858,,,154912,,,,,,,,,,
30547,,,,,,,,,,,,,,120267,,,,,,,,,,,,,,,,,
30545,,,,,,,,,,,,,,,,,,,,,,,51851.4,,,,,,,,
30543,,,,,,,,,,,,,,,,,,,,,,,,78538.4,,,,,,,
30540,,,59036,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30531,,,,,249704,,,,,,,,,119552,,,,,,,,,,,,,,,,,
30530,,,,,,,2086410,2275330,,,,,,,,,2297420,1588040,,,,,,,180896,,2276020,1667140,,,
30529,,,,,,,,,531179,141034,,,,,,,,,255209,,128454,,,,,,,,251778,198094,
30528,,,,,,,,,,,183192,,,,,,,,,,,,,,,,,,,,
30527,,,,,,858979,,,,,,,,,,,,,,,,,,,,,,,,,
30526,,,,126108,,,,,,,,,,,286060,911986,,,,136617,,,,,,782740,,,,,
30525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138833
30519,,,74236.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30514,,,,,,,,,,,,,,113573,,,,,,,,,,115708,,,,,,,
30503,,,97367.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30497,,,,136573,422643,,,,,,,,,,,,,,,,,,,,,,,,,,
30496,,,,,,2232370,,,,,,,,,478352,1276170,,,,,,,,,400593,1001820,,,,,
30495,,,,,,,,,,389384,230079,,,,,,,,,,,,,,,,,,,,
30494,,,,,,,,,,,,,,,,,,,,,,,,88706.6,,,,,,,
30493,,,,,,,,,,,,,,108767,,,,,,,,,,,,,,,608809,223801,
30492,,,,,,,,,934131,,,,,,,,,,,,,,,,,,,,,,
30491,,,,,,,,,,,,,,,,,,,502252,,,,,,,,,,,,
30490,,,,,,,,,,,,,,,,,,,,242477,,,,,,,,,,,
30487,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161210,,,
30486,,,,,,,,,,,,,59859.7,,,,,,,,,,,,,,,,,,
30485,,,77263.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30483,,,,,,,,,,,,,,,,,,1235350,,,,,,,,,,,,,
30481,,,,,,,,1367960,,,,,,,,,,,,,,,,,,,,,,,
30480,,,,,,,,,,,,,,,,,,,,,216119,,,,,,,,,,
30479,,,,,,,2029300,,,,,,,,,,,,,,,,,,,,,,,,
30478,,,,,,,,,,,,,,,,866091,2019140,,,,,,,,,658711,1968620,,,,211580
30465,,,,,,,,,,,,,,,,,,,,,,,,186864,,,,,,,
30464,,,,,630422,,,,,,,,,,,,,,,,,,,,,,,,,,
30463,,,,160011,,,,,,,136179,,,,,,,,,,,,,,,,,,,,
30462,,,,,,,,,,,,,,153983,411876,,,,,,,,,,390469,,,,,,
30461,,,,,,,,,,180387,,,,,,,,,,,,,,,,,,,,,
30459,,,,,,511965,,,,,,,,,,,,,,,,,,,,,,,,,
30453,,,,,,,,,,,,,45681.8,,,,,,,,,,,,,,,,,,
30447,,,,,,,,443288,,,,,,,,,,410832,333769,,,,,,,,,,358750,,
30446,,,,,,,,,528849,,,,,,,,,,,,,,,,,,,454332,,,
30444,,,,,,,,,,,,,,,,,,,,79709.6,,,,,,,,,,,
30443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89208,
30432,,,,,,,,,,,,,,,,,,,,,,,,137853,,,,,,,
30428,,,,,,,,,,,,,60084.9,153420,,,,,,,,,,,,,,,,,
30426,,,,,,,,443194,,,,,,,,,,,,,,,,,,,,,,,
30424,,,57216.1,,,,,,,,,,,,,,,,,,,,,,,,,355893,,,
30419,,,,,,,,,,,,,,,,,,,,,154979,,,,,,,,,,
30418,,,,,,,,,,,146710,,,,,,614346,,,,,,,,,,,,,,
30416,,,,,453016,,1187340,,,,,,,,,,,,,,,,,,,,762243,,,,
30415,,,,164982,,3008670,,,,,,,,,697932,,,,,,,,,,565073,,,,,,
30414,,,,,,,,,,,,,,,,2694850,,,,,,,95595.5,172309,,2578880,,,,265849,135654
30412,,,,,,,,,,,,,,,,,,,,234427,,,,,,,,,,,
30411,,,,,,,,,,300550,,,,,,,,,,,,,,,,,,,,,
30409,,,,,,,,,572343,,,,,,,,,,471770,,,,,,,,,,500401,,
30406,,,,,,,,,,,,,,,,,,449412,,,,,,,,,,,,,
30395,,,,,,,,,,,,,32381.2,,,,,,,,,,,,,,,,,,
30390,,,,,,,,1334620,,,,,,,,,,,,,,,,,,,,,,,
30389,,,,,,,,,,,,,,,,,,,,,,,,,,,,1162440,,,
30388,,,,,,,,,,,,,,,,,,961079,,,,,,,,,,,,,
30387,,,,,,,,,614737,,,,,,,,,,,,,,,,,,,,,,
30385,,,,,,,,,,,,,,,,,,,335419,,,,,,,,,,,,
30383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426994,,
30382,,,,,1217510,,,,,,,,,,1482280,,,,,,,,,,,,,,,,
30381,,,78385.2,,,,,,,,,,,,,,,,,,,,103145,,1216410,,,,,,
30380,,,,,,5945270,,,,,393883,,,,,,,,,,394874,,,,,,,,,,
30379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274543,
30378,,,,,,,,,,,,,,,,4963880,,,,,,,,,,,,,,,
30377,,,,,,,,,,406186,,,,,,,,,,,,,,259068,,4382590,,,,,
30376,,,,,,,,,,,,,,275991,,,,,,338306,,,,,,,,,,,292444
30375,,,,261627,,,4617240,,,,,,,,,,,,,,,,,,,,,,,,
30374,,,,,,,,,,,,,,,,,3138950,,,,,,,,,,3412400,,,,
30363,,,,,,,,,,,,,71875.4,,,,,,,,,,,,,,,,,,
30355,,,,,,,,,,,,,,,,,,,,,,,108339,,,,,,,,
30349,,,,245522,1104630,,,,,,,,,268019,,,,,,,,,,296499,800777,,,,,,
30348,,,,,,,,,794914,,,,,,849134,,,,459681,,,,,,,,,,,,
30347,,,74198.1,,,,,,,,,,,,,,,,,,,,,,,,,,521220,,
30334,,,,,,,3786860,,,,,,,,,,,,,,,,,,,,,,,,255103
30333,,,,,,,,2065490,,,289949,,,,,,3877000,1299390,,,,,,,,,3722170,1455450,,,
30332,,,,,,,,,,232352,,,,,,,,,,227147,189037,,,,,,,,,233577,
30331,,,,,,,,,,,,,,,,1563460,,,,,,,,,,,,,,,
30330,,,,,,,,,,,,,,,,,,,,,,,,,,1321220,,,,,
30327,,,,,,1176320,,,,,,,,,,,,,,,,,,,,,,,,,
30325,,,,,,,,,,,,,91733.5,,,,,,,,,,,,,,,,,,
30322,,,101109,,,,,,,,,,,,,,,,,,,,107160,,,,,,,,
30320,,,,,,,,,,,,,,270904,,,,,,,,,,,,,,,,,
30319,,,,277867,,,,,,,,,,,,,,,,,,,,,,,,,,,
30317,,,,,,,,,,,,,,,969274,,,,,,,,,,831030,,,,,,
30316,,,,,1120810,,,,,,,,,,,,,,,,,,,,,,,,,,
30313,,,,,,,,,,,,,,,,,,,,,87393,,,,,,,,,,
30307,,,,,,,,,,,,,,,,,,,,,,,,204587,,,,,,,76807.9
30306,,,,,,,,,,,,,,,,199905,,,,,,,,,,,,,,,
30305,,,,,,,,,,,,,,,,,,,,118824,,,,,,,,,,,
30302,,,,,,,,,,110496,,,,,,,,,268396,,,,,,,,,,,,
30301,,,,,,,,,461165,,,,,,,,,,,,,,,,,,,,372995,,
30293,,,75280.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30285,,,,,,,,2810790,,,,,,,,,,,,,,,,,,,,1418440,,,
30284,,,,,,,,,,,,,,,,,,1418980,,,,,,,,,,,,,
30269,,,190706,,,24230400,10483300,,,1279950,1369390,,202827,,7536070,23135700,,,,1058590,1258180,,289194,,6123350,21235200,6440210,,,1180430,1430680
30268,,,,1276790,4808310,,,,1277270,,,,,1098290,,,5329210,,1078910,,,,,1204930,,,,,1155700,,
30243,,,,,,,,1153640,,,,,,,,,,861487,,,,,,,,,,784091,,,
30242,,,,,,,,,339832,,,,,,,,,,,,,,,,,,,,,,
30236,,,,,,,,,,,,,,446413,,,,,,,,,83480.2,489676,,,,,,,
30235,,,,,1996370,,,,,,,,,,,,,,,,,,,,,,,,,,
30234,,,,,,,,,,,,,,,,,,,,,,,,,1556330,,,,,,
30233,,,,463601,,,,,,,,,81755.6,,1577850,,,,,,,,,,,,,,,,
30230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294504
30229,,,,,,,,,,,322474,,,,,,,,226912,314956,293041,,,,,,,,204257,,
30228,,,,,,4381630,4898180,,,260072,,,,,,4885630,3309280,,,,,,,,,4269730,3737920,,,311735,
30226,,,92206.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30203,,,,,,,,,636436,,,,,,,,,,,,,,,,,,,,,,
30202,,,,754146,4548210,,,,,,,,169603,973283,4642350,,,697086,378337,,,,125914,988789,4200830,,,,483732,,212886
30201,,,150802,,,,,,,206991,,,,,,,,,,,136565,,,,,,,,,,
30200,,,,,,,,,,,208484,,,,,,,,,164313,,,,,,,,,,,
30199,,,,,,1877350,,,,,,,,,,,,,,,,,,,,,,,,,
30196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117094,
30187,,,,,,,2816920,1168530,,,,,,,,,2645630,,,,,,,,,,2643480,704801,,,
30186,,,,,,,,,,,,,,,,1914000,,,,,,,,,,1579290,,,,,
30181,,,,,,,,,,,,,91241.6,,,,,,,,,,,,,,,,,,
30179,,,,,,,,,,,,,,247368,,,,,,,,,88383.3,294552,,,,,,,
30176,,,,264377,,,,,,,,,,,,,,,,,,,,,,,,,,,
30170,,,112573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30158,,,,,,,,,,,94682.9,,,,,,,,,,,,,,,,,,,,
30156,,,,,,,,,,,,,,,,,,,,98502.8,,,,,,,,,,,
30155,,,,,137882,,,,,,,,,,,,,,,,,,,,,,,,,,
30154,,,,,,,,,91823.7,,,,,,,,,,,,,,,,,,,,,,
30153,,,,,,,,,,,,,,,,,,,,,,,,,,,,132931,,,
30151,,,,,,,,,,,,,,,,,,,,,,,,,,,495200,,,,
30150,,,,,,,,,,,,,,,,,497330,,,,,,,,,,,,,84390.9,
30147,,,,,,,,177226,,,,,,,,,,,,,,,,,,,,,,,
30135,,,,,,3110750,,,,,,,,,,2489780,,,,,,,,,,2552510,,,,,
30134,,,,,,,736500,,,,,,,,,,,,,,,,,,,,,,,,
30133,,,,,,,,,,,,,,,,,,,,,,,,,,,510664,,,,
30132,,,,,,,,,,,,,,,,,327044,168746,,,,,,,,,,,,,
30127,,,,,,,,,185277,,,,,,,,,,,,,,,,,,,,175113,,113830
30126,,,,,,,,,,168030,,,,,,,,,,,,,,,,,,,,,
30125,,,,,,,,,,,186608,,,,,,,,176140,,,,,,,,,209299,,,
30124,,,,,,,,,,,,,,,,,,,,151712,175889,,,,,,,,,118276,
30123,,,,1319170,5892590,,,,,,,,193432,1796790,5159160,,,,,,,,,1998500,4958880,,,,,,
30122,,,,,,,,,,,,,,,,,,,,,,,215072,,,,,,,,
30121,,,241960,,,,,176780,,,,,,,,,,,,,,,,,,,,,,,
30098,,,,,,,,,49846.7,,,,,,,,,,,,,,,,,,,,,,
30096,,,,,,,912425,,,,,,,,,,,,,,,,,,,,,,,,
30095,,,,,,,,,,,,,,,,,561051,,,,,,,,,,566824,,,,
30092,,,,,,,,,,,,,,,,,,96288.5,,,,,,,,,,,,,
30089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40918.1,
30088,,,,443132,,,,,,,84727.8,,,,,,,,,,,,,,,,,,,,139476
30086,,,,,,,,,,121194,,,,,,,,,,,,,158351,444575,,,,,120707,,
30085,,,,,,,,,,,,,,514873,,,,,,137029,126474,,,,,,,108154,,,
30084,,,,,,,,,,,,,,,,1162930,,,,,,,,,,,,,,,
30083,,,,,,,,101579,,,,,131533,,,,,,,,,,,,,1235690,,,,,
30082,,,,,2377020,1913260,,,,,,,,,2785190,,,,,,,,,,2493190,,,,,,
30081,,,130563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30076,,,,,,,,,,,,,,,,,,,33251.8,,,,,,,,,,,,
30061,,,,,,,,,,,,,,422199,,,,,,,,,,,,,,,,,
30060,,,,,,,,,,,,,,,,,,,,,,,,486982,,,,,,,
30059,,,,396135,,,,,,,,,,,,,,,,,,,,,,,,,,,
30058,,,,,,,,,,,,,,,,,,,,,,,117485,,,,,,,,
30057,,,89483.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30056,,,,,,,,,,,,,94469.3,,,,,97180.4,,,,,,,,,,,,,
30055,,,,,,,,196870,,,,,,,,,497894,,,,,,,,,,445479,,,,
30053,,,,,,,,,,,,,,,,,,,,,,,,,,,,115135,,,
30049,,,,,,,,,47068,,,,,,,,,,,,,,,,,,,,,,
30044,,,,,,,567537,,,,,,,,,,,,,65634.3,,,,,,,,,,,
30042,,,,,,,,,,,,,,,,,,,107527,,,,,,,,,,,,
30041,,,,,,2248530,,,,,63083,,,,,1973720,,,,,102954,,,,,1920230,,,,,
30040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83229.6,
30039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127324
30038,,,,,,,,,,101222,,,,,,,,,,,,,,,,,,,,,
30030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35689.9,,
30029,,,,1132400,,,,,,,,,,,,,,,,,,,,,,,,,,,
30028,,,,,,,,,,,,,,1165040,,,,,,,,,253060,,,,,,,,
30027,,,,,,,,,,,,,,,,,,85586.7,,,,,,1290540,,,,,,,
30026,,,,,,,,,40410.5,,,,191941,,,,,,,,,,,,,,,107586,,,
30025,,,257919,,2610310,,,,,,,,,,2145910,,,,,,,,,,1985830,,,,,,
30024,,,,,,,,,,,,,,,,,,,92365,,,,,,,,,,,,
30022,,,,,,,,,,,,,,,,,,,,,,,,,,,94740.1,,,,
30016,,,,,,,,,,,,,,,,,115378,,,,,,,,,,,,,,
30001,,,149041,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30000,,,,,,,,,,62630.3,,,141608,,,,,,,,,,128150,,,,,,,,
29999,,,,,,,,,69844.6,,,,,,,,,,,,,,,,,,,,,,
29996,,,,,,,,,,,59031.9,,,,,,,,,,,,,,,,,76934.7,,,
29995,,,,,,,,,,,,,,,,,,,,,98643.9,,,,,355126,,,,,115985
29994,,,,,,,,,,,,,,,,396439,,,,,,,,,,,,,56259.3,,
29993,,,,,,614355,,103278,,,,,,,,,,,,,,,,,,,,,,69455.2,
29992,,,,,1712700,,160740,,,,,,,,1299540,,,51670.7,,,,,,,1240910,,148307,,,,
29979,,,,,,,,,,48969,,,,,,,,,99716.2,,,,,,,,,,,,
29978,,,,,,,,,,,46297.3,,,,,,,,,,,,,,,,,,,,
29977,,,,1420800,,,,,,,,,,1262010,,,,,,,,,444696,1404870,,,,,,,
29976,,,222736,,,,,,,,,,,,,,102998,,,,,,,,,,,,,67943.4,
29975,,,,,,,,,,,,,360675,,,,,,,,64842.4,,,,,,,,,,
29969,,,,,,,108589,,,,,,,,,,,,,,,,,,,,,,,,
29955,,,,,,,,,,,,,,,,,,,53692.3,,,,,,,,,,,,
29953,,,,,,,,,,,,,,,,325393,,,,,,,91775.4,,,,127905,,,,
29952,,,,,,,174846,,,,,,,,,,,,,,,,,,,,,,,,
29951,,,,,,,,,,,,,,,,,,,,,,,,,,297947,,,,,
29939,,,,,,,,,,,,,,,,,140110,,,,,,,,,,,94164.7,,,
29938,,,,,,,,,,,,,,,,,,,,,,,,,,,120240,,,,
29937,,,140714,,,,,,,,,,,,,,,97759,,,,,,,,,,,,,
29935,,,,,,664990,,,,,,,,,,395752,,,81476.9,,,,,,,411659,,,,,
29931,,,,,,,,,,,,,,,,,,,,,64136.6,,,,,,,,,,
29922,,,,,,,,,,,116841,,,,,,,,,,,,,,,,,,,,
29921,,,,,,,,,,119532,,,,,,,,,,,,,,,,,,73831.2,,121325,
29920,,,,3921670,3828840,,308136,142590,81044.2,,,,,4421420,2533110,,,,,,,,,4921180,2131820,,,,,,
29919,,72850.9,,,,,,,,,,,,,,,,,,107235,,,,,,,244147,,,,132141
29918,,,,,,,,,,,,,435545,,,,,109223,,,,129907,551923,,,,,,,,
29917,,,,,,,,,,,,,,,,,219664,,120895,,,,,,,,,,142388,,
29916,,,528208,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29895,,,,,,1159430,,,,,,,,,,877681,,,,,,,,,,,,,,,93588.3
29894,,,,,,,,,,,,,,,,,,,,,,,,,,858560,,,,,
29886,,,,,,,,,,,,,401508,,,,,,,,,,417481,,,,,,,,
29884,,,340588,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29881,,,,,,,,,,58672.5,,,,,,,,,,,,,,,,,,,,43274,
29880,,,,2004400,,,169844,,79830.4,,,,,2326720,,,147098,,,105876,95435.5,,,,,,,91961,,,
29879,,,,,5080710,,,,,,,,,,4173130,,,99958.1,149433,,,,,2629600,3976380,,136793,,112280,,
29878,,,,,,749941,,,,,,,,,,,,,,,,,,,,,,,,,
29851,,,181362,,,,,,,,,,,,,,,,,,,66281.3,,,,,,,,,
29850,,,,,,,,,,,,,,,,,,,,,,,265618,,,,,,,,
29849,,,,,,,,,,,,,297373,,,,,,33172.3,,,,,,,106069,,,,,
29848,,,,,,,,,,,,,,773653,,96455.6,,,,,,,,767431,,,,,,,
29847,,,,948147,,,,,,,,,,,,,,,,,,,,,,,,,,,
29846,,,,,362466,,,,,,,,,,270585,,,,,,,,,,,,,,,,
29845,,,,,,,,,,,,,,,,,,,,,,,,,176226,,,,,,
29842,,,,,,,91254.4,,,,,,,,,,,,,,,,,,,,,,,,
29841,,,,,,116021,,,,,,,,,,,,,,,,,,,,,,,,,
29837,,,,,,,,,,,,,,,,,,,,,,,,,,,54320.3,,,,
29836,,,,,,,,,,,,,,,,,41011.6,,,,,,,,,,,,,,
29835,,,,,,,,,,,,88527.1,,,,,,,,,,,,,,,,,,,
29830,,,156984,,,,,,,,,,,,,,,,,,,,177824,,,,,,,,
29824,,,,,,,,,,,,,,,,,,,,,,,,,,86171.8,,,,,
29808,,,,,,119955,,,,,,,,,,,,,,,,,,,,,,,,,
29802,,,,,,,,,,,,,,,,,69710,,,,,,,,,,,,,,
29799,,,649582,,,,,,,,,108521,483444,,,,,,,,,,433677,,,,,,,,
29789,,,,,,,,,,,,,,,,,,,,,,,,,336385,,,,,,
29788,,,,,,156287,,,,,,,,,386195,,,,,,,,,,,,,,,,
29787,,,,,570309,,,,,,,,,,,,,,,,,,,,,,,,,,
29786,,,,,,,,,,,,,,,,136793,,,,,,,,,,,,,,,
29785,,,,,,,,,,,,,,,,,,,,,,,,,,142417,,,,,
29783,,,,,,,97645.1,,,,,,,,,,,,,,,,,,,,,,,,
29781,,,,,,,,,,,,,,,,,,,,,,,,,,,,66098.2,,,
29775,,,,,,,,,,,,,,,,,,,,,,108470,,,,,,,,,
29774,,,,1794690,,,,,,,,,,1434600,,,,,,,,,,1205700,,,,,,,
29773,,,1188360,,,,,,,,,,1683300,,,,,,,,,,1672810,,,,,,,,
29770,,101624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29765,,,,,,,,,,,,93483.5,,,,,,,,,,,,,,,,,,,
29760,,,,,,,64405.8,,,,,,,,,,,,,,,,,,,,,,,,
29750,,,,,,105063,,,,,,,,,,,,,,,,,,,,,,,,,
29748,,,,,,,,,,,,,,,,89199.5,,,,,,,,,553109,,,,,,
29741,,,,,,,,,,,,,,,,,,,,,,,,,,107695,,,,,
29734,,86090,,,,,60295.2,,,,,,,,,,,,,,,,,,,,,,,109505,
29733,,,545392,3253100,838979,,,,,,,,872339,3166020,616953,,,,,,,,1019460,3211670,,,49005.5,,,,
29730,,,,,,83475.3,,,,,,105927,,,,,,,,,,,,,,,,,,,
29699,,,,,,,,,,,,,,,68280.2,,,,,,,,,,,,,,,,
29689,,,,,,,,,,,,,,,,,,,,28638.9,,,,,,,,,,,
29686,,,,,,,,,,,,,,,,,,,67765.5,,,,,,,,,,,,
29685,,,,,,,,,,,,225499,,,,,,,,,,273869,,,,,,,,,
29684,,161687,1799240,862302,,,,,,,,,1620720,536307,,,,,,,,,1471840,377867,,,,,,,
29682,,,,,85128.4,,,,,,,,,,,,,,,,,,,,,,,,,,
29676,,,,,,,,,,,,,,,118829,,,,,,,,,,,,,,,,
29674,,,,,,,,,,,,,,,,58141.6,,,,,,,,,,,,,,,
